Título,Autores,Año,Journal,DOI,URL,Fuente
Artificial Intelligence (AI) in Breast Imaging: A Scientometric Umbrella Review,"X. Tan, W. L. Cheor, Li Li Lim, Khairul Shakir Ab Rahman, I. Bakrin",2022,Diagnostics,10.3390/diagnostics12123111,https://www.semanticscholar.org/paper/0c3ceda44c277b83a48eda5c12b1d8fbdc44056b,Semantic Scholar
Multihead Attention based Convolution Neural Network for Cardiovascular Disease Prediction and Classification,"Arun M, Gurunathan S, Suraj R, S. Nandhini",2025,2025 Third International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),10.1109/ICAISS61471.2025.11041772,https://www.semanticscholar.org/paper/a00544f94e5ff616b69e1d48c89fc91f045a0903,Semantic Scholar
Detection and Classification of Eye Disease using Deep Learning Algorithms,"A. L. Deokate, Dr. Tripti Arjariya",2025,Journal of Information Systems Engineering and Management,10.52783/jisem.v10i4s.469,https://www.semanticscholar.org/paper/0d0d70f40b540c7737f61b6f26aff2238c3ec942,Semantic Scholar
AI -Driven Detection of Gastrointestinal Disease based on Advanced Deep Learning Techniques,"Sakshi V. Izankar, Chetan G. Puri, Rushikesh Burle",2025,2025 4th International Conference on Sentiment Analysis and Deep Learning (ICSADL),10.1109/ICSADL65848.2025.10933333,https://www.semanticscholar.org/paper/b768bcc1b568d338c456751c19ad9a8db2ac91b8,Semantic Scholar
Artificial Intelligence in Advance Angiogenesis and Inflammation Research: A Breakthrough in Disease Prediction and Therapy,,2024,Journal of Angiotherapy,10.25163/angiotherapy.899861,https://www.semanticscholar.org/paper/763c3c8ed666e0ad9878c0c4e835c8d077ecd546,Semantic Scholar
"Application and Potential of Artificial Intelligence in Heart Failure: Past, Present, and Future","M. Yoon, Jin Joo Park, Taeho Hur, Cam-Hao Hua, Musarrat Hussain, Sungyoung Lee, D. Choi",2023,International Journal of Heart Failure,10.36628/ijhf.2023.0050,https://www.semanticscholar.org/paper/de4028a4da2d918997a56e67ba011dc283bcd19d,Semantic Scholar
Novel Image Fusion Techniques for Human Disease Detection,"Ansh Rawat, Divyansh Sharma, Palakpreet Kaur",2023,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2023.57025,https://www.semanticscholar.org/paper/5a4d7bc42ef85e4fe756a65d47b6e8709c121986,Semantic Scholar
Early diagnosis of skin oncologic diseases using artificial intelligence technologies,"Simon О. Samokhin, A. V. Patrushev, Yulia I. Akaeva, S. A. Parfenov, G. G. Kutelev",2024,Vestnik dermatologii i venerologii,10.25208/vdv16746,https://www.semanticscholar.org/paper/c1df1e55dd5cb4b43f39eeb8aec8c07b0d250fec,Semantic Scholar
"A Comprehensive Review of Artificial Intelligence Approaches in Kidney Cancer Medical Images Diagnosis, Datasets, Challenges and Issues and Future Directions","Dhuha Abdalredha Kadhim, Mazin Abed Mohammed",2024,"International Journal of Mathematics, Statistics, and Computer Science",10.59543/ijmscs.v2i.9747,https://www.semanticscholar.org/paper/f1fa47a18f216b32de746d85f4fbf73f94ff8b65,Semantic Scholar
Enhanced Cardiovascular Disease Detection Using CNN-SVM Models Based Classification,"Shiva Mehta, Saniya Khurana",2024,2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),10.1109/ICCCNT61001.2024.10725108,https://www.semanticscholar.org/paper/05d270023918a9e8965922ba14f7fb5e6b4a9c0e,Semantic Scholar
"Machine Learning Approaches in Diagnosis, Prognosis and Treatment Selection of Cardiac Amyloidosis","A. Allegra, Giuseppe Mirabile, A. Tonacci, Sarah Genovese, G. Pioggia, S. Gangemi",2023,International Journal of Molecular Sciences,10.3390/ijms24065680,https://www.semanticscholar.org/paper/890645fc3422c03f7f04ca5be69d855b2335469f,Semantic Scholar
A Comprehensive Review of Machine Learning’s Role within KOA,"Suman Rani, Minakshi Memoria, Tanupriya Choudhury, Ayan Sar",2024,EAI Endorsed Transactions on Internet of Things,10.4108/eetiot.5329,https://www.semanticscholar.org/paper/d639dc993188d010e0d9ebddbaac14f7af632de5,Semantic Scholar
Applied machine learning and artificial intelligence in rheumatology,"Maria Hügle, P. Omoumi, J. V. van Laar, Joschka Boedecker, T. Hügle",2020,Rheumatology Advances in Practice,10.1093/rap/rkaa005,https://www.semanticscholar.org/paper/34bed85f10510753a39baf728fddb3c5e2116ae6,Semantic Scholar
The Role of Artificial Intelligence in Treatment and Diagnosis in Healthcare,"Shekhar Singh, Vishal Rai, Ajay Yadav, Akanksha Kanojia, Sanjay Kumar Srivastava",2024,Journal for Research in Applied Sciences and Biotechnology,10.55544/jrasb.3.4.2,https://www.semanticscholar.org/paper/28fa58c5358bc3ad2c7dba34bdd09f46bad7cddb,Semantic Scholar
Explainable AI Approach for Cardiac Involvement Detection in Anderson-Fabry Disease,"Chiara Verdone, M. Gravina, Grazia Casavecchia, Rodolfo Belfiore, Benedetta Di Millo",2025,,10.5220/0013653700003967,https://www.semanticscholar.org/paper/c607323f1a987323e9c1ba3bfefe6762325a3013,Semantic Scholar
Deep learning‐based aggregate analysis to identify cut‐off points for decision‐making in pancreatic cancer detection,"G. Dzemyda, O. Kurasova, V. Medvedev, Ausra Suboniene, A. Kielaite-Gulla, A. Samuilis, Džiugas Jagminas, Kęstutis Strupas",2024,Expert Systems,10.1111/exsy.13614,https://www.semanticscholar.org/paper/6d3554771b0c564822857179ccfab6553f357d7d,Semantic Scholar
[Artificial intelligence-enhanced ECG interpretation: a new era for electrocardiography?],"Fabrizio Ricci, Maria Luana Rizzuto, G. Bisaccia, Davide Mansour, S. Gallina, Luigi Sciarra, Giuseppe Bagliani, Antonio Dello Russo, Andrea Mortara, Giuseppe Ciliberti",2025,Giornale italiano di cardiologia,10.1714/4542.45427,https://www.semanticscholar.org/paper/8e17d3e79e0b2c0afee9b99b235dafbaaff3e881,Semantic Scholar
Detection and Analysis of Cardiovascular Diseases using Machine Learning Techniques,"Damodar Prabhu K, Prathiksha Rao, V. K, Pooja N.S, Priya R Kamath",2023,"2023 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",10.1109/DISCOVER58830.2023.10316703,https://www.semanticscholar.org/paper/57baa3c42a9b95fed10cf854a15669120e14b28f,Semantic Scholar
Artificial Intelligence for Detection of Cardiovascular-Related Diseases from Wearable Devices: A Systematic Review and Meta-Analysis,"Solam Lee, Y. Chu, Jiseung Ryu, Y. Park, Sejung Yang, S. Koh",2022,Yonsei Medical Journal,10.3349/ymj.2022.63.s93,https://www.semanticscholar.org/paper/e0837c30ec39becb2710974a76afbb606b8b3454,Semantic Scholar
Breast Cancer Detection and Prevention Using Machine Learning,"Arslan Khalid, A. Mehmood, Amerah A. Alabrah, B. Alkhamees, Farhan Amin, Hussain Alsalman, G. Choi",2023,Diagnostics,10.3390/diagnostics13193113,https://www.semanticscholar.org/paper/d85199e2e837205070b001495abb168ccbd78746,Semantic Scholar
Artificial Intelligence in Assessing Cardiovascular Disease,Xinrui Tan,2025,MedScien,10.61173/q84z9j91,https://www.semanticscholar.org/paper/6b8dcc4c59561bca556c415ff24bfbda97e820bf,Semantic Scholar
Image Segmentation with Priority Based Apposite Feature Extraction Model for Detection of Multiple Sclerosis in MR Images Using Deep Learning Technique,"K. N. Rode, Rajashekar Jangam Siddamallaiah",2022,Traitement du Signal,10.18280/ts.390242,https://www.semanticscholar.org/paper/cfa033aaeddc2b1f329343349b21c227ab16832d,Semantic Scholar
Hybrid Machine Learning for Disease Diagnosis: A Review of Case Studies and Performance Evaluation Using Multi-Source Data,"Sanjeev Gour, Apoorva Joshi, Ambrish K. Sharma, Dr.Shital Gupta, Karuna Nidhi Pandagre",2025,Journal of Information Systems Engineering and Management,10.52783/jisem.v10i36s.6537,https://www.semanticscholar.org/paper/a86aa6f856bd2d24fc33275ee56be5fec531cd87,Semantic Scholar
"Integrating artificial intelligence in healthcare: applications, challenges, and future directions","Peng Lean Chong, Vikneswaran Vaigeshwari, Basir Khan Mohammed Reyasudin, Binti Ros Azamin Noor Hidayah, Purnshatman Tatchanaamoorti, J. Yeow, Feng Yuan Kong",2025,Future Science OA,10.1080/20565623.2025.2527505,https://www.semanticscholar.org/paper/f9a248a541f368452aab21a10d612f2c8abdb3eb,Semantic Scholar
Comparison Of Various Machine Learning Models With A Hybrid Model (Cnn–Lstm) Using An Electrocardiographic Image Dataset For Early Prediction Of Cardiovascular Disease,"Monika, Dr. Parveen Sehgal",2025,International Journal of Environmental Sciences,10.64252/45jtma80,https://www.semanticscholar.org/paper/f057f39e7275fb594f9ddf0554530ef73cfc93d6,Semantic Scholar
Artificial Intelligence-Based Diagnosis of Cardiac and Related Diseases,"Muhammad Arsalan, Muhammad Owais, T. Mahmood, Jiho Choi, K. Park",2020,Journal of Clinical Medicine,10.3390/jcm9030871,https://www.semanticscholar.org/paper/c4da7cc8d6db6e6978f91c0aac8c039673537c53,Semantic Scholar
A Deep Pattern Learning based Model for Detection of Cardiovascular Diseases(CVD),"Balu Srinivasulu, P.V.Subba Reddy, P.Hussain Basha",2024,2024 4th International Conference on Pervasive Computing and Social Networking (ICPCSN),10.1109/ICPCSN62568.2024.00040,https://www.semanticscholar.org/paper/87f399629142e30d7247882755c028ef06f6f430,Semantic Scholar
Artificial Intelligence the Future of Cardiology,"Tariq Ashraf, Rafat Sultana",2024,Pakistan Heart Journal,10.47144/phj.v57i2.2798,https://www.semanticscholar.org/paper/b27a1f9b2f56b39fa632d277dd4decf1863bbd32,Semantic Scholar
Artificial intelligence and machine learning for Alzheimer’s disease: let’s not forget about the retina,"Wei Yan Ng, C. Cheung, D. Milea, D. Ting",2021,British Journal of Ophthalmology,10.1136/bjophthalmol-2020-318407,https://www.semanticscholar.org/paper/55ca3517f0349a65653c26402c9129cdce0a21f6,Semantic Scholar
Artificial Intelligence-Based Image Reconstruction in Cardiac Magnetic Resonance,"C. Qin, D. Rueckert",2022,ArXiv,10.1007/978-3-030-92087-6_14,https://www.semanticscholar.org/paper/e15343e2a699887e0e813524e1e3c1532efd6559,Semantic Scholar
Computer Vision Based Machine Learning and Deep Learning Approaches for Identification of Nutrient Deficiency in Crops: A Survey,"M. Sudhakar, R. M. Swarna Priya",2023,Nature Environment and Pollution Technology,10.46488/nept.2023.v22i03.025,https://www.semanticscholar.org/paper/74af9167899c5e9986263768f2500842e447cbed,Semantic Scholar
COVID-19 Detection Based on Blood Test Parameters using Various Artificial Intelligence Methods,"Kavian Khanjani, Seyed Rasoul Hosseini, S. Shashaani, Mohammad Teshnehlab",2024,ArXiv,10.48550/arXiv.2404.02348,https://www.semanticscholar.org/paper/e212fe640b400595822afed7ed97277ee111d7bf,Semantic Scholar
"Artificial Intelligence for Multiple Sclerosis Management Using Retinal Images: Pearl, Peaks, and Pitfalls","Shadi Farabi Maleki, M. Yousefi, Sayeh Afshar, Siamak Pedrammehr, C. P. Lim, Ali Jafarizadeh, Houshyar Asadi",2023,Seminars in Ophthalmology,10.1080/08820538.2023.2293030,https://www.semanticscholar.org/paper/fda537448fd64a83b04ac04aec3b65d0fdf9a1ba,Semantic Scholar
An Overview of Deep-Learning-Based Methods for Cardiovascular Risk Assessment with Retinal Images,"Rubén G. Barriada, D. Masip",2022,Diagnostics,10.3390/diagnostics13010068,https://www.semanticscholar.org/paper/edf7078b9700751823c8d178c77aaf7608181775,Semantic Scholar
Feature Engineering to Early Detection of Plant Disease Using Image Processing and Artificial Intelligence: A Comparative Analysis,"Neha Sharma, Pooja Sharma, Narinder Kumar",2025,International Journal of Latest Technology in Engineering Management &amp; Applied Science,10.51583/ijltemas.2025.1407000133,https://www.semanticscholar.org/paper/7836cfd32c5adaadc2246a5f631c5afe053f3af6,Semantic Scholar
Data source and utilization of artificial intelligence technologies in vascular surgery—a scoping review,"Katarzyna Powezka, Karin Slater, David Brind, Michael Wall, G. Gkoutos, Maciej Juszczak",2025,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2025.1497822,https://www.semanticscholar.org/paper/859fae5997439aed2b38a38e435cd10ee8dd8340,Semantic Scholar
Deep Learning Applications in 12-lead Electrocardiogram and Echocardiogram,"Masamitsu Nakayama, R. Yagi, Shinichi Goto",2024,JMA Journal,10.31662/jmaj.2024-0195,https://www.semanticscholar.org/paper/8f65c2bf33f276626b1fa02af879a2d13ceb949b,Semantic Scholar
Explainable AI For Comprehensive Disease Detection,,2025,REST Journal on Data Analytics and Artificial Intelligence,10.46632/jdaai/4/1/43,https://www.semanticscholar.org/paper/f4ce7da1aee4de4738a25a1d4f6c24df6925cd9a,Semantic Scholar
Review of artificial intelligence-assisted COVID-19 detection solutions using radiological images,"Kolsoum Yousefpanah, M. Ebadi",2022,Journal of Electronic Imaging,10.1117/1.JEI.32.2.021405,https://www.semanticscholar.org/paper/df5a75e8a86a0d19d1952c8b6cf2d49b7341562d,Semantic Scholar
[Applications and perspectives of artificial intelligence in periodontology].,"Chunxu Lü, S. Ge",2025,Hua xi kou qiang yi xue za zhi = Huaxi kouqiang yixue zazhi = West China journal of stomatology,10.7518/hxkq.2025.2025103,https://www.semanticscholar.org/paper/528935ffb310bae43fb374edefb77bec098f4c58,Semantic Scholar
Artificial Intelligence in Medical Diagnostics and Healthcare,Ms Reshma R,2025,International Scientific Journal of Engineering and Management,10.55041/isjem02354,https://www.semanticscholar.org/paper/2d6517d405b412c0002e61bcba00cf665103a4da,Semantic Scholar
Use of Artificial Intelligence in the Diagnosis of Colorectal Cancer,"Basil N Nduma, Stephen Nkeonye, Tesingin D Uwawah, Davinder Kaur, Chukwuyem Ekhator, Solomon Ambe",2024,Cureus,10.7759/cureus.53024,https://www.semanticscholar.org/paper/83d679424af1c0c875542f461248bb6b4e5da77d,Semantic Scholar
"The Power of Artificial Intelligence for Improved Patient Outcomes, Ethical Practices and Overcoming Challenges",Almasri Imad-Addin,2024,IgMin Research,10.61927/igmin222,https://www.semanticscholar.org/paper/ca09bce0a91268079631f6007618681d022633a0,Semantic Scholar
Artificial Intelligence in Fetal and Pediatric Echocardiography,"Alan P Wang, T. Doan, Charitha Reddy, P. Jone",2024,Children,10.3390/children12010014,https://www.semanticscholar.org/paper/5898f0eed508f54c7292c23e71dd8b25c11066c7,Semantic Scholar
A Comprehensive Artificial Intelligence-Driven Healthcare System,F. Ekpar,2024,European Journal of Electrical Engineering and Computer Science,10.24018/ejece.2024.8.3.617,https://www.semanticscholar.org/paper/c0aff049979b7e0ada22ac6bfb271f604f33bdb4,Semantic Scholar
Usefulness of machine learning in COVID-19 for the detection and prognosis of cardiovascular complications.,"A. Zimmerman, D. Kalra",2020,Reviews in cardiovascular medicine,10.31083/J.RCM.2020.03.120,https://www.semanticscholar.org/paper/3feff9ea4b81323f39d2865d1fc38b1c26a64baa,Semantic Scholar
Artificial Intelligence-Based Robust Hybrid Algorithm Design and Implementation for Real-Time Detection of Plant Diseases in Agricultural Environments,"İlayda Yağ, Aytaç Altan",2022,Biology,10.3390/biology11121732,https://www.semanticscholar.org/paper/4deab1fec9281a63d2d5695a0f81e5083bfe0dc6,Semantic Scholar
Smart and Automated Diagnosis of COVID-19 Using Artificial Intelligence Techniques,"Masoud Alajmi, Osama A. Elshakankiry, W. El-shafai, H. El-sayed, A. Sallam, Heba M. Elhoseny, Ahmed Sedik, O. Faragallah",2022,Intell. Autom. Soft Comput.,10.32604/iasc.2022.021211,https://www.semanticscholar.org/paper/146dcd6635d35e21b4bb694d4212c3a84affcecf,Semantic Scholar
Automated Pulmonary Nodule Classification and Detection Using Deep Learning Architectures,"Imran Ahmed, Abdellah Chehri, Gwanggil Jeon, F. Piccialli",2022,IEEE/ACM Transactions on Computational Biology and Bioinformatics,10.1109/TCBB.2022.3192139,https://www.semanticscholar.org/paper/3fd0514ace3a38e9d3ff8fc679ebe88d209409ca,Semantic Scholar
A survey on recent developments in diabetic retinopathy detection through integration of deep learning,"Shalini Agarwal, Aruna Bhat",2022,Multimedia Tools and Applications,10.1007/s11042-022-13837-5,https://www.semanticscholar.org/paper/f012e4bcb63a201169833e3bb22aac034d4d5eb8,Semantic Scholar
Technological Advances in the Diagnosis of Cardiovascular Disease: A Public Health Strategy,"Maria Restrepo Tique, Oscar Araque, L. A. Sanchez-Echeverri",2024,International Journal of Environmental Research and Public Health,10.3390/ijerph21081083,https://www.semanticscholar.org/paper/a1d84043dfd2a9dfacaa8b559f65a7d69f21751a,Semantic Scholar
Integration of Artificial Intelligence into Chest Computed Tomography,Wong Kennedy,2024,EAS Journal of Radiology and Imaging Technology,10.36349/easjrit.2024.v06i02.003,https://www.semanticscholar.org/paper/9d428e4d3c12f4d4d5866ddad799d20972e97dc3,Semantic Scholar
Enhancing early detection of pancreatic cancer by integrating AI with advanced imaging techniques,"Amina Catherine Ijiga, David Oche Idoko, Moyosoore Mopelola, Nduka Ijeoma, E. K. Okereke, John Audu Agaba",2024,Magna Scientia Advanced Biology and Pharmacy,10.30574/msabp.2024.12.2.0044,https://www.semanticscholar.org/paper/8f3a9d1a0628ad23cf5964443c4d34ede3ed65a9,Semantic Scholar
Heart Disease Prediction Using ANN & PSO,"Dr. S. Sathya, Girishma, Madhan Kumar",2025,International Research Journal of Innovations in Engineering and Technology,10.47001/irjiet/2025.inspire25,https://www.semanticscholar.org/paper/9ff0c1ba778c2f2f37c4b57fd57d97681e071d27,Semantic Scholar
Artificial intelligence in clinical workflow processes in vascular surgery and beyond.,"Shernaz S. Dossabhoy, V. Ho, E. Ross, Fatima Rodriguez, S. Arya",2023,Seminars in vascular surgery,10.1053/j.semvascsurg.2023.07.002,https://www.semanticscholar.org/paper/41850f4ef90b5f10247868230aa1a8e4f01c239e,Semantic Scholar
Artificial intelligence in the diagnosis and management of arrhythmias,"Venkat D Nagarajan, Su-Lin Lee, J. Robertus, C. Nienaber, N. Trayanova, S. Ernst",2021,European Heart Journal,10.1093/eurheartj/ehab544,https://www.semanticscholar.org/paper/209e1ed21e8f117b10feaa10d1cedbe4a963bf0c,Semantic Scholar
Breast tumour detection using machine learning: review of selected methods from 2015 to 2021,"G. Sharma, N. Jindal",2022,Multimedia Tools and Applications,10.1007/s11042-022-12859-3,https://www.semanticscholar.org/paper/8ae57e66a2d250ea3775b0728cce109d7a1a23e6,Semantic Scholar
A Survey of Applications of Artificial Intelligence for Myocardial Infarction Disease Diagnosis,"Javad Hassannataj Joloudari, Sanaz Mojrian, Issa Nodehi, Amir Mashmool, Zeynab Kiani Zadegan, Sahar Khanjani Shirkharkolaie, Tahereh Tamadon, S. Khosravi, M. Akbari, Edris Hassannataj, R. Alizadehsani, Danial Sharifrazi, A. Mosavi",2021,ArXiv,,https://www.semanticscholar.org/paper/c17c38c7b644cdc5faa0b22fc654a7fee02204ef,Semantic Scholar
"Current application, possibilities, and challenges of artificial intelligence in the management of rheumatoid arthritis, axial spondyloarthritis, and psoriatic arthritis",Emre Bilgin,2025,Therapeutic Advances in Musculoskeletal Disease,10.1177/1759720X251343579,https://www.semanticscholar.org/paper/55c9d64116ea0d73a3f7d633f84c5b7d2ef44a87,Semantic Scholar
Retinal revelations: Seeing beyond the eye with artificial intelligence,J. Akkara,2024,Kerala Journal of Ophthalmology,10.4103/kjo.kjo_124_24,https://www.semanticscholar.org/paper/c7126621728bef74b2172fedc84a6a4fb8b39d01,Semantic Scholar
Exploiting Machine Learning Models for Identification of Heart Diseases,"Inam Ullah, Azhar Imran, Areesa Ashfaq, Muhammad Adnan",2022,Journal of Computing &amp; Biomedical Informatics,10.56979/302/2022/63,https://www.semanticscholar.org/paper/429e10bdd11454a9e2a46dded4082aca1a9515ca,Semantic Scholar
Deep and hybrid learning of MRI diagnosis for early detection of the progression stages in Alzheimer’s disease,I. Abunadi,2022,Connection Science,10.1080/09540091.2022.2123450,https://www.semanticscholar.org/paper/f713de9b38e2615eadf89ed57a28cf2dc084ca27,Semantic Scholar
HSCAD:Heart Sound Classification for Accurate Diagnosis using Machine Learning and MATLAB,"Anurag Sinha, B. Kumar, Pallab Banerjee, Md. Ramish",2021,2021 International Conference on Computational Performance Evaluation (ComPE),10.1109/ComPE53109.2021.9752199,https://www.semanticscholar.org/paper/a37af22b9a69a884816397e88605815384c94481,Semantic Scholar
Revolutionizing COPD and Asthma Management with Artificial Intelligence,"Yudi Kurniawan, Budi Susilo, Shamima Abdul Rahman",2025,,10.1101/2025.03.18.25324219,https://www.semanticscholar.org/paper/01c25bdcf4b7760bcf522ee04250ef01f59a62af,Semantic Scholar
Research progress in artificial intelligence for brain metastases,"Dongxiang Wang, Wei Wang, Tong Li, Chenqi Liang, Xia Zhao",2025,Frontiers in Medicine,10.3389/fmed.2025.1643850,https://www.semanticscholar.org/paper/d6252f95de7e26e09bc935ad21e82cf850ee790f,Semantic Scholar
Artificial Intelligence Based Myocardial Ischemia Detection in Cardiac Radiology,"Xiangru Li, J. Tian, N. Nan, C. Tu, Dongfeng Zhang, Xiantao Song, Hongjia Zhang",2021,Proceedings of the 2nd International Symposium on Artificial Intelligence for Medicine Sciences,10.1145/3500931.3500951,https://www.semanticscholar.org/paper/40b25c8335893b67ec4dbd82bf089bbae1670520,Semantic Scholar
Potential Role of Artificial Intelligence in Cardiac Magnetic Resonance Imaging,"R. Cau, V. Cherchi, G. Micheletti, M. Porcu, L. Mannelli, P. Bassareo, J. Suri, L. Saba",2021,Journal of Thoracic Imaging,10.1097/RTI.0000000000000584,https://www.semanticscholar.org/paper/867bfcab2be5d9e91f374dba209d2089d1696f68,Semantic Scholar
Survey of Recent Applications of Artificial Intelligence for Detection and Analysis of COVID-19 and Other Infectious Diseases,"R. Segall, Vidhya Sankarasubbu",2022,Int. J. Artif. Intell. Mach. Learn.,10.4018/ijaiml.313574,https://www.semanticscholar.org/paper/29c40b29619fc7df0f90d1401485118155fa31ad,Semantic Scholar
A survey of machine learning-based methods for COVID-19 medical image analysis,"Kashfia Sailunaz, Tansel Özyer, J. Rokne, Reda Alhajj",2023,Medical & Biological Engineering & Computing,10.1007/s11517-022-02758-y,https://www.semanticscholar.org/paper/85842d70f84d9b86f4611ca77fa288ab302242d5,Semantic Scholar
Effective Prediction of Mortality by Heart Disease Among Women in Jordan Using the Chi-Squared Automatic Interaction Detection Model: Retrospective Validation Study,"Salam H. Bani Hani, Muayyad M. Ahmad",2023,JMIR Cardio,10.2196/48795,https://www.semanticscholar.org/paper/ff8e162f88a05fab2d2c2254f6cd6bddad873e8e,Semantic Scholar
Using artificial intelligence in the development of diagnostic models of coronary artery disease with imaging markers: A scoping review,"X. Wang, Junfeng Wang, Wenjun Wang, Mingxiang Zhu, Hua Guo, Junyu Ding, Jin Sun, Di Zhu, Yongjie Duan, Xu Chen, Peifang Zhang, Zhenzhou Wu, Kunlun He",2022,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2022.945451,https://www.semanticscholar.org/paper/33ac7e95f9af88f8255e6a8f2e62602bbf88d198,Semantic Scholar
Challenges for ocular disease identification in the era of artificial intelligence,"Neha Gour, M. Tanveer, P. Khanna",2022,Neural Computing and Applications,10.1007/s00521-021-06770-5,https://www.semanticscholar.org/paper/304d1dcf0948e7fd4c54ce71fe25dbf3a1e07414,Semantic Scholar
Artificial intelligence-enabled electrocardiography contributes to hyperthyroidism detection and outcome prediction,"Chin Lin, Feng-Chih Kuo, T. Chau, Jui-Hu Shih, Chin Lin, Chien-Chou Chen, Chia-Cheng Lee, Shih-Hua Lin",2024,Communications Medicine,10.1038/s43856-024-00472-4,https://www.semanticscholar.org/paper/d047ff1509674280a95b7e53e355d118fdc5c439,Semantic Scholar
Artificial Intelligence in Cardiac CT: Automated Calcium Scoring and Plaque Analysis,"Heon Lee, Heon Lee, T. Emrich, U. Schoepf, Verena Brandt, Verena Brandt, Tyler J. Leonard, Hunter N. Gray, Vincent Giovagnoli, D. Dargis, J. Burt, C. Tesche, C. Tesche",2020,Current Cardiovascular Imaging Reports,10.1007/s12410-020-09549-9,https://www.semanticscholar.org/paper/af040dbfd5fbafe176a9e0f10b0e8cf3fa3a0379,Semantic Scholar
Artificial Intelligence Techniques in Medical Imaging for Detection of Coronavirus (COVID-19/SARS-COV-2): A Brief Survey,"Anindya Banerjee, R. Ghosh",2021,Algorithms for Intelligent Systems,10.1007/978-981-16-1574-0_12,https://www.semanticscholar.org/paper/123b99a0b4d589e89a156a769b4eae5e070538bb,Semantic Scholar
Artificial intelligence in chronic kidney disease management: a scoping review,"C. Sabanayagam, Riswana Banu, C. Lim, Y. Tham, Ching-Yu Cheng, G. Tan, Elif Ekinci, Bin Sheng, Gareth J McKay, Jonathan E. Shaw, Kunihiro Matsushita, Navdeep Tangri, Jason Choo, T. Wong",2025,Theranostics,10.7150/thno.108552,https://www.semanticscholar.org/paper/ba793a2ea1d278de3b0be471f371f22fbf2aa3df,Semantic Scholar
Forecasting of Heart Diseases in Early Stages Using Machine Learning Approaches,"Khushi Kumari Jha, Ankita Kumari Jha, Kuldeep Rathore, T. Mahesh",2021,"2021 International Conference on Forensics, Analytics, Big Data, Security (FABS)",10.1109/FABS52071.2021.9702665,https://www.semanticscholar.org/paper/78cd3f5745c9b9cbe39bf33a560ac0a00e388b4b,Semantic Scholar
Detection of Myocardial Infarction From 12-Lead ECG Trace Images Using Eigendomain Deep Representation Learning,"Sathvik Bhaskarpandit, Anurag Gade, Shaswati Dash, Dinesh Kumar Dash, R. Tripathy, R. B. Pachori",2023,IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2023.3241986,https://www.semanticscholar.org/paper/085dea38bf9af0995773f5d226f9c73c497c4088,Semantic Scholar
Deep Learning Paradigm for Cardiovascular Disease/Stroke Risk Stratification in Parkinson’s Disease Affected by COVID-19: A Narrative Review,"J. Suri, M. Maindarkar, S. Paul, P. Ahluwalia, Mrinalini Bhagawati, L. Saba, G. Faa, Sanjay Saxena, Inder M. Singh, Paramjit S. Chadha, M. Turk, A. Johri, N. Khanna, K. Višković, S. Mavrogeni, John R. Laird, Martin Miner, David W. Sobel, A. Balestrieri, P. Sfikakis, G. Tsoulfas, A. Protogerou, D. Misra, V. Agarwal, G. Kitas, R. Kolluri, J. Teji, Mustafa Al-Maini, S. Dhanjil, Meyypan Sockalingam, Ajit Saxena, Aditya M. Sharma, Vijay Rathore, M. Fatemi, A. Alizad, Padukode R. Krishnan, Tomaž Omerzu, S. Naidu, A. Nicolaides, K. Paraskevas, M. Kalra, Zoltán Ruzsa, M. Fouda",2022,Diagnostics,10.3390/diagnostics12071543,https://www.semanticscholar.org/paper/1e009b48b202eff240b423e2b0d15d32e4f40966,Semantic Scholar
DSSMH : A Decision Support System based on Machine Computational Design for Heart Disease Diagnosis,,2020,,,https://www.semanticscholar.org/paper/1b3c64e68a63035dad73541081635acdcfd6d404,Semantic Scholar
Current Applications of Artificial Intelligence in Sarcoidosis,"Dana Lew, E. Klang, S. Soffer, A. Morgenthau",2023,Lung,10.1007/s00408-023-00641-7,https://www.semanticscholar.org/paper/1f60c5ae024f49236616de9430713d51f13908e8,Semantic Scholar
An RNN-Bi LSTM Based Multi Decision GAN Approach for the Recognition of Cardiovascular Disease (CVD) From Heart Beat Sound: A Feature Optimization Process,"N. A. Vinay, K. N. Vidyasagar, S. Rohith, Dayananda Pruthviraja, S. Supreeth, S. H. Bharathi",2024,IEEE Access,10.1109/ACCESS.2024.3397574,https://www.semanticscholar.org/paper/a17bf9c8cea2a1e26a3a5fc375e03993022aa79c,Semantic Scholar
Revolutionizing healthcare by use of artificial intelligence in esophageal carcinoma – a narrative review,"Anmol Mohan, Zoha Asghar, R. Abid, Rasish Subedi, Karishma Kumari, Sushil Kumar, Koushik Majumder, Aqsa Ishaque Bhurgri, Usha Tejwaney, Sarwan Kumar",2023,Annals of Medicine and Surgery,10.1097/MS9.0000000000001175,https://www.semanticscholar.org/paper/8b3baad196b05b37478c78d13ab50cb865440128,Semantic Scholar
